Comment,Score
"I started taking norethindrone (mini pill) and within two days I felt emotionally awkward.  This emotional roller coaster did not come on gently either; it came rolling in and took over my mind, my thoughts, my reactions.  I became angry easily, and without a moments notice my emotions changed like the wind.  There was sadness, crying, depression, emptiness, anger and frustration.  These emotional spells were only 20 mins apart at the most! I was yelling at my children constantly until I realized it was the mini pill that was my problem.  This is a horrible drug  for me and women should know the truth.  After I stopped the pill, my emotional state became stable again.   Wouldn't recommend this to anyone.",1
"Was given 30mg cymbalta for pain in hip as well as depression due to chronic pain. It's been 2months, after about 3weeks of many side affects, diarrhea, nausea, headache, the  pharmacy told me to stick with it, they will pass. They have except I've gained about 2lbs. The depression is better, the pain isn't any better, in fact seems to be getting worse. I don't think the cymbalta is making the pain worse, I think my hip is just getting worse. But not happy about the weight gain since I was fighting my weight before I took it. And being heavier can't be good for a bad hip.",1
"I had my nexplanon inserted in Jan of this year. 2012. It's now June and luckily I get it out 1 week from today and am getting my tubes tied and endometrial ablation(so I don't have period) due to the side effects of this. Like others stated it is effective in not getting you pregnant BUT I too am like a lot of others who have a period constantly with maybe 1-2 days off after about 2 straight weeks then back on. It's inconsistent and I'm always on. That's not the only HORRIBLE part... SECOND, it's super heavy. Like gushing within 30 min of a changing tampon. I have to wear super tampons (which hurt) and a pad and I still end up changing underwear all day! My husband is just as frustrated as I am. I'm moody. Migraines. Backaches. Horrible!",1
"Was forced to switch from 4 to 2 Norco every 24 hrs. to Hysingla ER 30. I've gotten massive headaches every day in the past 2 wks. since starting it, far less pain relief, itching and swollen abdomen. My Dr. insists I need to stick with it.",1
"I was given this in an IV (along with Benadryl) in the ER when I had a horrible migraine. The nurse said it would make me tired when she gave it to me at 4 pm. Well I was tired for about 3 min. then the began. Like the other poster, I started to feel extremely anxious. I kept tossing and turning in the bed because I felt like I wanted to crawl out of my skin. I had to wait for 2 IV bags to finish before they would let me leave. When I got home I was exhausted but at the same time could not sit still to save my life. I had that wanting to crawl out of my skin feeling all night as I paced the house exhausted. I was finally able to fall asleep at 2 am. The next day I was really shaky and still a little bit anxious. ",1
Had to discontinue after 3 days due to severe depression symptoms that started with taking the medication.,1
I had the shot on October 2th 2012 and I can honestly say that I would never recommend this shot to anyone. I have bled every single day since I received it and it is now December 3th. Talk about about low sex drive when you're constantly bleeding 24/2. Not fun. Not to mention that it has made me feel weak every second of the day. I don't know if it's from bleeding so much or what. It's also caused stage 1 acne on my face. I've never had problems with any kind of acne until receiving this shot. I've gained about 2 pounds since October too. Needless to say I will never be on this birth control again once it wears off. It has made me feel absolutely awful about myself.,1
On Lipitor I developed Polyneuropathy in my left foot. Burning and electrical charge sensations. Stopped Lipitor and problem went. Took several weeks before it left my body.Everyone on Statins should be taking Co Enzyme Q3 or Ubiquinol to help prevent muscle pains. I prefer quality of life to one of pain. I am an active healthy 83 yr old with high cholesterol. ,1
"With in the first 20 minutes of taking this medication,  I started dizzy, disoriented, my mouth had gotten numb . With in 42 minutes I went into full anaphylactic shock and was taken to the er. So unfortunately this isn't for me.  I just had my 3rd colonoscopy and  actually now have severe Crohn's.  Getting ready to start remicaide. I'm nervous but hopefully this will rid the pain and suffering I've been going through.",1
My father was given this after a PSA climb following chemo treatment.  Chemo shrank swollen lymph nodes and PSA drops to around 2 but climbed 1 point after Chemo. Taking this medication has made no difference as his PSA. The doctor is switching him to Firmagon as he says it shows aggressive PSA reduction in studies.,1
"With only 4 doses of 200 mg in 3 days instead of 3 a day, my symptoms got progressively worse. Blurred vision, dizziness, rash, leg pain and swelling, heat sensations in legs, muscle pain, back pain, swelling and pain in stomach, and extreme fatigue. Stopped taking and reported adverse reaction to pharmacy and will tell doctor. Very glad I did not take full dose. Use with caution if you are sensitive to meds.",1
"I first started 18 mg once a day, no noticeable change. Then increased to 40 mg once a day, at first I seemed to just be calm and zombie like with no change to my ADD. Then, 2-3 weeks later insomnia, paranoia, depression, rage, panic attacks, and severe anxiety consumed me so badly I couldn't leave my house. I feared for my safety and the safety of others so I stopped the drug immediately! I was having thoughts of violence toward others and myself, I am a 28 year old woman and was on no other medications and no other conditions besides ADD. I'd rather just deal with my ADD than all those scary feelings I've never had before.",1
"Dr. switched me from 20mg generic Lexapro to 300mg of generic Wellbutrin XL HCL (bupropion) because I felt a lack of energy on the Lexapro.  I didn't notice any change of energy level with the Wellbutrin, but had many side effects: significant weight gain (30 lbs in 8 months) despite it being &quot;weight neutral&quot;constant headaches, joint pain, muscle ache, stomach pain, blurry vision, constipation and sleep disturbances.  Switched from CVS pharmacy to Publix pharmacy and pills were different (small white round at CVS, large white oblong at Publix).  Switching to new generic only made side effects worse. Went back to the generic Lexapro and after 3 weeks, all symptoms ceased and weight is dropping back off.  Wellbutrin is not for me.",1
"I suffer from insomnia for nearly 8 months now and have tried melatonin, OTC sleep aids, ambien, trazadone, etc nothing worked. Asked my doctor if I could try belsomra and was given a sample 3 mg dose for 3 days, it kept me awake all last night and tonight as well. So tired of not being able to sleep!!!",1
"I wasted almost  on two spray bottles of Afrin because of the horrible safety cap. It is not a child-resistant cap. It is a Fort Knox style security system. In the end, in desperation to breath without driving back to the drugstore, I cut the top off one of the bottles with a skill saw. Once I got to the Afrin, it worked good enough -- but that took fifteen minutes of frustration. I will never, ever buy this product again because of the horrible packaging. The cap is more than poorly designed -- it's an insult to the consumer. Now that I can breathe again, I'm on my way back to Walgreen's for a refund and to buy another brand of nasal decongestant.",1
"I am 21 yrs old.  Took this medicine for 8 days.  Kept getting weaker and weaker.  Then, barely breathing.  Spent 4 days in hosp.",1
This has been the worst pill ever. I have been bleeding for 13 days and it has not stopped yet. I had to go to my obgyn for evaluation and told to stop taking them right away. I start my new pill tri sprintec next I have taking that for seven years and never had a problem with. The only reason y it got switched is because the pharmacy told me it was the generic.,1
"Latuda didn't even come close to touching my bipolar depression. I kept waiting and waiting for it to work, but nothing happened. I ended up having a horrible depressive episode that almost got me hospitalized. Plus, I had to eat a 320 calorie snack with it, which was always difficult to figure out. On top of that, it would knock me out every night, which would be considered nice...if it didn't knock me out at 2-8pm.",1
"Horrible reaction to Zoloft , ended up in the ER after 2 doses(12.2 mg) . That morning I awoke at 2 am sweating , achy, nauseous , heart racing, could barely walk legs hurt so bad. It's been 3 1/2 weeks since I stopped it and I still have pain in hips and muscle aches / burning sensation in legs and constant chest pain from palpitations.",1
"Only on day 4 and can't take the constant nausea and off feelings anymore. Vivid dreams, sweating, but the worst is definitely the gastro issues. Bloating, acid reflux, severe nausea. Tried taking it with food, tried taking anti-nausea pills and so many other things, but it wouldn't work.",1
"I'm on day 2, so I have taken 4 pills and I feel absolutely horrible nausea.  I have aches all over like the flu and pains in my stomach, sharp ones.  I can barely keep my head up.  I am stopping them and going back to the doctor tomorrow.  I have never felt so bad, also very explosive diarrhea. I'm thinking of going to the hospital.  I feel as if I have been poisoned.",1
"This is the first ever experience I've had with extreme side effects from a medication. This has been the worst experience of my life. I've been taking it at 9:30 every night. I wake up in the middle of the night at 2:00 am every night with extreme nausea, something that I didn't experience before taking this. When I wake up in the morning I instantly feel dizzy and nauseous. This continues on throughout the day. Half way through the day the anxiety starts to take over. I start to experience shortness of breath, shaking, and light headedness. Once the panic attack ends, I get a headache more towards 2:00pm-2:00pm. This has been happening every day since I started this pill, and I'm just told to keep pushing through.",1
I decided to take one of these bc of travelers constipation&quot;  I was at my hotel and was hoping this would be a simple solution to the slight constipation I get when travelling - what a mistake! I woke up middle of night and didn't know what was wrong with me - I felt like I could pass out or wondered if I was having a heart attack! never had a bowel movement either  will never take ever again,1
This pill is the devil!! Don't do it!!!! I have seriously considered contacting the FDA to have it removed from the shelves! Made me feel completely out of control of my body and sick to my stomach to the point I had to lay down and hope I wasn't having a heart attack! Don't buy this crap!!,1
"I ended up in the ER three days after starting it feeling like I couldn't sit still and I was going crazy. I was shaking, feeling short of breath and feeling suicidal. ",1
"Allergic reaction to Anaprox, this is poison I do not understand how the FDA approved this medication that almost kill me. I do not recommend it because of the dangerous side effects and should be taken out of the market. IT IS POISON AND I ONLY TOOK ONE 229 MG IN THE GENERIC FORM ( NAPROXEN )",1
"I have been on this for about 2 months and I've recently been getting extremely tired all day long (even if I take it way earlier the day before). The drowsiness is so extreme that I cant even watch a show. I'm literally struggling to stay awake all day cause I feel like I just wanna sleep my life away. My depression has been through the roof as well! And to top it off, the weight I have gained since I have been on it, has been insane. I constantly wanna eat all the time! I have gained at least 20-30 pounds in the past month or two! I am definitely gonna tell my doctor I want off of it ASAP! I cant take it anymore ",1
"Gave one star to Zoloft for its effort, but really it deserves zero stars from my experience. I was on Remeron, then Cipralex (Lexapro for American users) for almost a year and when it stopped working I decided to go with Zoloft after reading good reviews. Zoloft slowly turned me into the worst version of myself. Constant anger, irritation, nausea, no appetite, no motivation, and man the heart burn was unreal. And the list goes on and on. I took it for a week at 22mg and 3 weeks at 20mg to give it a shot but I had to stop because I was just falling apart. I am currently on Effexor, its been almost a week and it is slowly putting me back together from the Zoloft disaster.",1
Patanase caused headaches that increased daily until I had a 12-hour migraine. I quit taking it and the headaches stopped. ,1
"This medicine was given as an alternative to Xifaxan because my insurance won't cover Xifaxan. My Doctor says there is a 20% chance it will work. I am on Day 2 of 3 and have seen no results as of yet with no relief of my symptoms. Side effects the first couple of days were brutal, I think my body has begun to adjust now.",1
"I was prescribed mivaso from my dermatologist for rosacea, I suffer from flushing / red face - especially my cheeks. I applied it at night to see how it worked and I was very impressed!! All the redness had disappeared. I continued to use it every day for about a week (only a little bit in the morning before I did my make up) I thought it was a miracle cream, every now and then I would have hot cheeks and redness but I put that down to my rosacea and being flared up by something like coffee.......But then I started having rebound flushing, my face felt like it was on fire, my cheeks were red/purple it was hard to work or function in life. I had never experienced burning and flushing like that before. Stay away from this product!!!",1
"My son was prescribed 22 mg venlafaxine by his physician for anxiety and depression. He had many of the side effects for 18 months without realizing it was from the drug. Excessive burping, yawning, insomnia, mood swings, and tremors. He stopped taking them and after 8 days had a manic episode from the withdrawals. He was hospitalized in ICU for 4 days. It almost killed him. Do not take an anti-psychotic or anti-depressant drug without a diagnosis from a psychiatrist. This type of drug must be monitored weekly by a professional. After follow up care with a psychiatrist said he has probably never been depressed but had situational anxiety disorder from the pressure of college. He now has PTSS from the experience getting off the drug.",1
This is a terrible pill and I wouldn't recommend anybody to start this med unless you are ready for the bad side effects of coming off of this med when it doesn't work . This med cause me to lose about 3 years of memory lose and almost my marriage.,1
"I was on this for 3 months and only got up to a 30 mg dose. My lips peeled, my face peeled, I got depressed and finally it made me want to die. I am a super positive person, and I don't think I could have felt so bad about myself. And on top of it my skin did not change because I wasn't able to complete the treatment. Stay away.",1
I have had the paragrad iud for 1 year and my periods are horrible I pour blood and cramp so bad I can't move. I have a period twice a month both lasting 2 days. Last month my strings came out but the dr wouldn't remove it due to having to cut me open to get it out. Now a month later horrid pain where I can barely move and its now embedded in my uterus. I would never recommend this to anyone. Worse decision I ever made,1
My husband is in the hospital right now and they put a brand new knee in and he was doing pretty good until they gave him that drug.  It was horrible for him.  He was like a different  person.  He did not know where he was or even who we were.  He was screaming for someone to call the police.  I cannot imagine anyone taking that.  Norco 3 is the strongest thing he can take and that is just one pill when needed.  He took one dose of that and that is all....horrible experience for him.,1
"The absolute WORST medicine I've ever taken. I haven't seen a single good review on this, and now I'm wishing I would have read these sooner. Every single one of them is true, there's a reason this is rated 2/3. I wouldn't have given it a 1 if it gave me a choice for 0. I was seeing double for weeks, and thinking that it may have just been that my eye doctor didn't shape my contact right, sure enough, it was this awful birth control. I had 3 periods break though bleeding 3 times and I was only on my second week of the second month. I gained 12 lbs in that short amount of time &amp; after researching it, I stopped taking it immediately, 2 days ago &amp; my eye sight went back to normal almost immediately. I've already lost 2 lbs in two days.",1
Made it worse. Had a little bit of yeast but after taking the product i gained more yeast and a smell.,1
Just starting to use my prescribed gabapentin for RLS.... I'll let you know how it goes! It'll be amazing if my stomach will even tolerate it!,1
"1st day fine. 2nd day it made me SO sick. Severe stomach cramps and I mean severe. Nausea, dizziness, headache, racing heart, backache, weakness  and fatigue. I haven't used it for 2 days and most symptoms have cleared but the stomach cramps and fatigue are still very painful. MD said to go to emergency for stomach pain but its an hour + drive so I opted to try to sleep it off. Since its still ongoing I'll be seeing my MD tomorrow. I will never take this again!",1
"As soon as a started my first pack of Sprintec, I immediately was having severe depression and mood swings. I am a healthy, fun loving, young girl who has little problems in life. This medication made me feel horrible about myself, and gave me a really negative outlook on daily activities. My boyfriend commented on my mood changes and obvious depression and lack of enthusiasm for activities I use to enjoy.",1
"After trying several pills that did not agree wth me, I ended up on minastrin for the last 2 years.  I had minimal side effects and I never got my period or any of the symptoms, loved this pill!!  I was given mibela from pharmacy earlier this year, and I absolutely hate it!!! Most definitely not the same as minastrin, no way this the generic form.  After being on it for 2 months, thinking the side effects would level out, its worse than ever!  I eat fairly well and exercise at least 3-2 times a week. I get ankle swelling, gained 12 lbs, very bad headaches at least 3/4 times a week, cramps, extreme mood swings, depression to the point where I didn't want to leave my house, and got a very heavy period every other week lasting 3-4 days",1
Unfortunately was unable to affectively try this product. I experienced severe burning in my eyes following application. I contacted Allergen (manufacturer of Restassus) immediately with my side effects and they offered a complete refund. Thrilled that I was able to re-coup my money as this was a VERY expensive prescription ($1400/cash... 3 month supply). I am impressed with their support and willingness to refund.,1
Awful experience!! Couldn't get the cap off so I spent 30 minutes trying to get it off.  After 30 mins and a bloody cut up thumb I finally just grabbed my old bottle of nostrilla (which I would have much rather bought but couldn't find any at the store.  For anyone reading this nostrilla is a 3/3 for me!!) Punctured a whole in the afrin bottle and squeezed the stuff into the nostrilla bottle... so nostrilla you the real MVP!!,1
"I DO NOT recommend this birth control to anyone. Become informed prior to having a foreign object inserted into your body. I had horrible panic attacks, constant feeling of nausea, digestive issues, heavy periods, and painful sex. My PMS symptoms were 20 days out of a month. I had the paragard for over 4 years before having it removed 2 weeks ago. Getting a piece of plastic with copper wrapped around it shoved into my cervix was a bad idea. I had my first period last week since removal and it was a much easier process. We are given these &quot;safe and effective&quot; forms of birth control so most doctors can push other forms of medications to treat symptoms from the side effects. The pharmaceutical companies run this country. Beware.",1
"I'm only on day 2 and I had to call out of work because I've felt nauseous all day. Yesterday I was nauseous, but today is 3x worse. I have chills, loose stools, woke up with a weird taste in my mouth last night, and I'm sick to my stomach. I've barely gotten out of bed all day, and I have no idea how I'm supposed to complete 3 days of this medication. I feel like I've been poisoned and it's slowly killing me.",1
"Used it for six weeks. Cluster headaches, Not able to sleep. Foggy all day from lack of sleep. Mind raced 300 miles per hour. bm several times a day. muscle cramps in feet dosage 2 mg to start 2 days 3 mg 2 days 12 mg on day 2 at night.this went on for 2 weeks doctor saying it would get better. it didn't. finely stopped and went back to depakote. I can live with the small tremors. back to being able to sleep no headache",1
"Took this drug for high blood pressure. Started out on hydrochlorothiazide but had a lot of side effects from it. Then switched over, took it one night and only got 4 hours of sleep. Next day I took my blood pressure and it was insanely high. Highest blood pressure reading I've had. I went to urgent care and they suggested I go to the ER. At the ER they did a lot of tests and couldn't find anything. 48 hours after taking amlodipine blood pressure still hasn't gone down. If I could give this drug a negative reading I would. Stay clear of amlodipine. Highly don't recommend.",1
It did not work for me at all. I felt no difference and it did not bring my anxiety down.,1
"A doctor gave me Ultram with Trazadone for a sprained wrist and insomnia/anxiety. I took them both at bedtime and by morning I was throwing up with one of the worst headaches of my life, on my birthday. I threw up all day.",1
Took brand Mircette for 2 months. Great for skin &amp; body adjusted quickly to brand only. Had no immediate side effects but the manufacturer never made enough. Was forced to generic. Estrogen placebos did nothing to help menstrual migraine/estrogen withdrawls dibiltating headaches. It was actually worse on this pill. Many trips to ER. On brand I didn't have the daily headaches. Sex was ridiculously painful on both  3rd month on brand was unbearably dry in my vagina. Took kariva &amp; had the most dibiltating migraine/daily headaches ever. All dr's denied the correlation. Had break though bleeding/spotting tampon amounts for 3 months &amp; then anemic. Demanded to be removed off this! Get rid of your gyno if she doesn't believe you.,1
"Diarrhea only lasted a day. I was pleasantly surprised how fast Viibryd began working. I felt so much better not even five days into taking it, which NEVER happens with me! I thought I had finally found a medication that worked after six years. About two months into taking it I had gained about ten pounds, my vision had gotten worse, my sex drive had gone from being very very high to literally NOTHING (took three months after I stopped taking for it to return), and my depression and anxiety were back in full swing.  It wasn't normal depression where everything is just boring and you're lethargic and what not, it was the angry, scary, unpredictable depression I've only experienced from bad reactions to other medication in the past.",1
It was such a horrible experience I will never use this again and would never recommend this to any girl it was like knifes were stabbing you and a painful ich,1
I sprayed this on my mild sunburn and it intensified the burn by 2.  I  immediately had to shower with cool water. Instead of having my mild sunburn I ended up with a really intense sunburn.  It was horrible experience!  Parents should be really careful using this product on children.,1
After using Diovan for only a few days I developed shortness of breath and my blood pressure skyrocketed. I was also very lethargic. Within 2 days of stopping going back to my old blood pressure medication my pressure dropped significantly. This drug did NOT work for me for what it was prescribed for.,1
"I started taking Abilify about 4 weeks ago. I am bi-polar. Of course the highs are great and the lows, well you know. My doctor thought that this would cause me to level out the highs and lows. Not such a bad idea but I think (no way of knowing for sure) this medication has caused me to go down gradually. Seems like it eliminated the high altogether and caused me to drift into a moderate low. Unlike before taking this med, I am able to still function somewhat better than full blown depression. Right now I feel pretty poorly with anxiety and depression. I have  thought about stopping this medication and after reading some of these experiences, I've decided to stop this medication (2 mg) today and see what happens. I still take Lamotrigine.",1
"After six months of using it, I lost my libido. After one year, I took the mirena out and in one day my libido returned. Three months later I detected a lump and it was breast cancer. I am sure the small amount of estrogen created the harmful cancer cells.",1
Only been on it for a week and I'm feeling awful.  I know I need to give it time but the panic attacks are worse.  I'm having to take Ativan so I can calm down. This morning I woke up and had that all over feeling with sweats rapid heartbeat I know blood pressure was elevated.  I'm feeling so defeated.   Head still hurts.  Having all the attacks again that put me in ER 4 times.  I love reading others comments and hearing it gets worse before better.   Thanks for the feedback.,1
I was forced to take this medication by my prescription coverage. It has by far been the worse experience of my life! It doesn't help with going and leaves me in horrific pain and so bloated I can't breathe. If you have IBS-C run far away for this drug! I am impatiently waiting to get the over ride on my old medication.,1
"I don't know why, but Propofol does not seem to provide the advertised effects for me.  I  just got it today for an RFA nerve block on both knees.  I was a little loopy but essentially Wide-awake.  Despite my telling the medical staff I was wide-awake several times,  they continued with the procedure.  They did give me more Propafol, but no dice. I try to be low-key and  composed during medical treatments, but I screamed and cried through the whole thing.  I actually felt the ablation happening, it was horrible.  I felt like I was pretty much ignored by all of the medical staff besides the nurse.  I guess they thought I wouldn't remember it, but of course I do.",1
"I'm shocked to see not a single negative review listed. The first day taking Wellbutrin after drinks with a friend (not advisable) we had a bad fight, my anger was uncontrollable. That next day I had a fight with my roommate, I was absorbed in rage, completely unaware of others' feelings. That week I was stuck in my head, angry, charged, paranoid and isolated. A week later I had terrible fight with my roommate resulting in a BAD physical altercation, cops were called, next day she moved out. Next day I was extremely depressed and indifferent. I stopped taking it. Maybe I didn't give it time. Don't want to discourage others but if you have irritability/anger issues be very aware and cautious.",1
"Botox did not work for me. A geneticist confirmed that I have DYTI dystonia, which is one of the hereditary forms. The symptoms I'd experienced were on the left side of my neck. Botox DID reduce those movements. Unfortunately, my head steadily began to pull to the right and my torso twisted as well. I also experienced &quot;floppy-head,&quot; which feels like someone is pushing the back of your head so that your chin nearly touches your chest. Not fun. Botox is also a toxic substance and the full effects are not yet known. All of this may be due to the genetic nature of my condition so it may work better for those with the secondary type.",1
"I was prescribed Luvox for anxiety and panic attacks.  Initially Luvox just made me tired.  After about 2 weeks it started making me feel depressive.  Continued taking it for about 2 months, the depressive symptoms only got worse.  I had to discontinue medication because it caused depression for me.  Did not help for anxiety or panic at all.  When tapering off I suffered severe nausea and headaches.  Didn't work and has bad side effects.",1
"I took this drug for a month, my condition got worse. I ended up in the hospital it got so bad. It's been over 4 months since I stopped taking this drug and I still feel the effects. Please ask questions before taking this drug. I should have looked into it more.  Find out what percentage of people actually get better, the last time I checked it was 33% get 22% better, what about the other 22%. Thankfully I have good doctors that figured out how to help me.",1
"2 days, 2 pills a night. It will clean you out good, but at a cost. Burning pain and an hour of cramping later, you'd wish you never took it. It's not worth it. If you have another option do it. So far the worst pain I've ever felt.",1
"I am BEYOND angry at how terrible my skin broke out while using this medication. It was a mystery to myself and family when my face began to break out terribly, to the point where I was prescribed oral acne medication and the painful cysts still didn't go away. This medication almost ruined my skin, I am so thankful I stopped when I did and read these reviews! It's honestly infuriating that this was the cause! I stopped taking this pill about a week ago and my skin has already cleared up substantially. Do not recommend!!!!",1
I had a major breakdown and was hospitalized. My psychiatrist put me on effexor. I took it before bed and by 2 am I was running fever and felt like I had the flu. It was by far the worst medicine I have ever tried. EVER. I woul never take this again. I felt horrible all day the next day and wouldn't get out of bed. It was a nightmare.,1
"I complained to a friend of insomnia, mainly stress related. She offered a seroquel on the promise that it would relax me and put me in la la land. I will never again take medicine that is not prescribed for me! For the first time ever... I heard voices starting at 2 am. I heard two men arguing on the other side of my closed bedroom door, loud enough to wake me but I couldn't make out what they were saying. I was too afraid to look because I knew no one was there. Then around 4:30 am I heard a baby crying non stop this lasted until 2:00 am. I sat up for hours listening to what if feels like to be going insane! Never again!",1
It made me tired and didn't relieve my anxiety.,1
"Due to my increasing anxiety and panic attacks I was prescribed Lexapro 3mg. During the first few weeks I became very sensitive and would nearly cry over simple things like a customer saying ; please don't put this item in the bag with that item. I had very high blood pressure, bad headaches, rapid heart beat, I would feel weak and my body would start shaking (especially my hands). One time I even thought I was having a minor heart attack. I decided to ween off Lexapro and change medication.",1
Caused vomiting and gave me worst headache.,1
"I am 22 and in good health.  I don't take any medicines except aspirin.  I do get bladder infections every once in a while.  I was given this medicine and had a terrible reaction.  My whole body would start shaking like I was freezing or standing outside in the snow with no clothes on for 3 minutes.  I would do everything to try and get warm and keep my teeth from chattering but nothing helped.  I couldn't walk right, it was like I had palsy.  The only thing that gave me relief was taking two aspirin.  In about 20 minutes the shaking would stop. I went back to the doctor and he couldn't figure what the problem was.....well I'm allergic to this medicine.",1
"READ THIS PLEASE!! I was taking falmina for only one month, on my last week of almost being done with the first pack, I started getting panic attacks, depression, and anxiety. I would cry for anything and started getting so much nausea, I couldn't even eat at all only drink water !! It's the most horrible symptoms I have ever experienced  with birth control. I couldn't even be around my kids. I read this site and stories and didn't think it will happen to me, because I tried different birth control and this never happened !!",1
